displayUserNick,auctionSku,rateDate,rateContent
悠***k,颜色分类:09 黑色;尺码:160/84A/M,2021-01-23 17:24:16,外穿很好👍，正常买的尺码，外穿不觉得大。
某***秦,颜色分类:50 浅绿色;尺码:155/80A/S,2021-01-23 12:12:30,很轻便，颜色超级好看，动的时候衣服摩擦有一点声音。
b***o,颜色分类:65 宝蓝色;尺码:160/84A/M,2021-01-23 11:57:02,好看适合时冷时热的天气，但是钻绒
y***6,颜色分类:34 驼色;尺码:155/80A/S,2021-01-22 18:39:37,很喜欢这衣服颜色，宽松型遮肚。面料柔软，试了一下，里外都可以穿，很实用。
s***d,颜色分类:09 黑色;尺码:155/80A/S,2021-01-22 13:16:55,好
入***分,颜色分类:65 宝蓝色;尺码:160/84A/M,2021-01-22 12:57:59,好
o***丫,颜色分类:50 浅绿色;尺码:160/88A/L,2021-01-22 11:19:29,颜色漂亮
有***s,颜色分类:50 浅绿色;尺码:155/80A/S,2021-01-22 09:31:19,还不错
2***l,颜色分类:09 黑色;尺码:160/84A/M,2021-01-22 07:59:24,很满意
k***0,颜色分类:50 浅绿色;尺码:165/92A/XL,2021-01-21 21:33:54,淡绿色很好看，比白色好看，也不是老气的颜色，春天穿很好，1.6，130斤穿M就可以，外穿所以买了XL码
n***宝,颜色分类:65 宝蓝色;尺码:165/92A/XL,2021-01-21 16:21:23,打开包装一股鸭绒的臭味，要散散的，十二度左右穿在卫衣外面还行
d***1,颜色分类:65 宝蓝色;尺码:160/84A/M,2021-01-21 16:14:45,好好看，颜色好看，款式可以外穿也可以当内胆，爱了。
心***4,颜色分类:65 宝蓝色;尺码:155/80A/S,2021-01-21 15:08:57,同事都说好看呢
a***e,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-20 23:20:58,好看，轻便保暖
t***9,颜色分类:65 宝蓝色;尺码:165/92A/XL,2021-01-20 23:10:08,宝贝收到了很满意哦给你5分
弄***a,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-20 20:38:17,在办公室暖空调房里穿穿很好。是优衣库难得很好看的款式。170，102，买的s，合身，但袖子短了点，当九分袖穿穿吧～
怡***0,颜色分类:50 浅绿色;尺码:170/100B/XXL,2021-01-20 20:16:34,暖和，舒服
堂***鱼,颜色分类:65 宝蓝色;尺码:155/80A/S,2021-01-20 16:51:07,大小合适
t***8,颜色分类:65 宝蓝色;尺码:160/84A/M,2021-01-20 14:59:26,薄而暖 发货很快
l***1,颜色分类:65 宝蓝色;尺码:160/84A/M,2021-01-20 11:15:54,轻薄保暖 质量好 满意五分 我的身高体重：164厘米 53公斤
苦***蜜,颜色分类:50 浅绿色;尺码:160/84A/M,2021-01-20 11:15:23,薄是真的薄
开***7,颜色分类:65 宝蓝色;尺码:155/80A/S,2021-01-20 10:23:31,充当打底
快***t,颜色分类:50 浅绿色;尺码:165/92A/XL,2021-01-20 09:42:55,好，店里看到，网上买的，经常是优惠价399，499的时候别买
x***0,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-19 21:23:15,懒得说了，买来穿第一次，晚上脱下来，羽绒粘的身上都是
璎***猪,颜色分类:50 浅绿色;尺码:160/84A/M,2021-01-19 21:13:18,开春了就可以穿，款式不错，降价会再买一件
凤***g,颜色分类:65 宝蓝色;尺码:155/80A/S,2021-01-19 21:08:32,身高163体重118斤，买的s号，大小很合适，内面还可穿个优衣库羽绒背心，衣服穿着练瑜伽也挺好，轻便舒适又保暖
小***几,颜色分类:09 黑色;尺码:155/80A/S,2021-01-19 16:37:12,有始以来发货最慢的一次优衣库一看记录是从大河北来的大概是检验检疫用了好久吧
d***0,颜色分类:65 宝蓝色;尺码:160/84A/M,2021-01-19 15:34:48,好
d***0,颜色分类:34 驼色;尺码:160/88A/L,2021-01-19 15:34:48,还不错
m***u,颜色分类:50 浅绿色;尺码:160/88A/L,2021-01-19 14:15:55,面料真的差到爆 穿上真的不肯退
t***6,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-19 13:49:16,好看
黑***跳,颜色分类:01 乳白色;尺码:175/108C/XXXL,2021-01-19 10:20:04,材质厚度：羽绒服，算了吧，这是两层涤纶布之间夹了点毛 版型风格：老年人的打底羽绒内胆 搭配建议：模特穿了都好看，常人穿了会透底。里面衣服颜色一目了然
小***9,颜色分类:34 驼色;尺码:165/92A/XL,2021-01-19 09:45:25,物流快，羽绒夹克轻薄柔软质量好，满意～
映***天,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-18 21:46:33,非常感谢
t***2,颜色分类:65 宝蓝色;尺码:155/80A/S,2021-01-18 14:37:40,懒得拍上身照了 大衣里面的就是那件衣服 很轻很薄 可以当内搭吧 颜色也挺好看的哦
逸***q,颜色分类:65 宝蓝色;尺码:160/84A/M,2021-01-18 13:10:46,整体评价：太大了
逸***q,颜色分类:34 驼色;尺码:160/88A/L,2021-01-18 13:10:46,整体评价：太大了
s***9,颜色分类:50 浅绿色;尺码:170/100B/XXL,2021-01-18 08:42:25,这件必须好评！很轻，款式质量都很满意。尤其是快递，隔天就到相当给力，希望保持！感谢优衣库
七***7,颜色分类:50 浅绿色;尺码:155/80A/S,2021-01-17 20:31:42,颜值真的很高，但是衣服在冬天就只能作为内搭，当外套很冷。只有45g填充量，四百块钱买还是很贵的
