displayUserNick,auctionSku,rateDate,rateContent
m***m,颜色分类:00 白色;尺码:160/84A/M,2021-01-26 11:47:43,尺码合适，158，110斤，内搭很不错，面料很舒服柔软，长度也合适，搭卫衣马甲都不错，149买的，99只有绿色了，不过价格让人羡慕
黎***1,颜色分类:00 白色;尺码:165/92A/XL,2021-01-26 08:27:39,神仙衬衫，百搭各种衣服，码偏大，169，130，XL有些宽松
蓝***0,颜色分类:00 白色;尺码:150/76A/XS,2021-01-25 20:15:39,喜欢。。。
h***2,颜色分类:00 白色;尺码:160/84A/M,2021-01-25 17:15:43,买了好几件啦，料子特别舒服
v***1,颜色分类:09 黑色;尺码:160/88A/L,2021-01-24 20:50:59,和实体店一样，面料超赞👍🏻
幸***1,颜色分类:00 白色;尺码:155/80A/S,2021-01-24 17:13:52,白色好透
z***5,颜色分类:00 白色;尺码:155/80A/S,2021-01-24 15:56:12,很好的衬衫，薄薄的很亲肤！我163，91斤
z***3,颜色分类:00 白色;尺码:160/88A/L,2021-01-24 14:11:57,很好
w***q,颜色分类:00 白色;尺码:150/76A/XS,2021-01-24 14:09:21,好
含***诉,颜色分类:00 白色;尺码:150/76A/XS,2021-01-24 11:07:34,优衣库忠实粉丝
豆***洋,颜色分类:00 白色;尺码:160/88A/L,2021-01-23 16:33:45,打底舒适，最喜欢这个领子，不大不小又服帖，试穿自提服务也满意！
叶***0,颜色分类:09 黑色;尺码:155/80A/S,2021-01-23 09:56:30,显瘦显高，主要是尺码合适，比平时穿衣服的码数再小一码就非常好，每次都会选小一码，这个不重要，主要是它很不错，很好看，上班穿首选，很适合肩宽或者胳膊肉比较多的女孩子哦！
易***的,颜色分类:00 白色;尺码:160/88A/L,2021-01-22 23:09:18,好评
d***9,颜色分类:09 黑色;尺码:160/84A/M,2021-01-21 17:19:04,149买的，之前在实体店买的199，这个面料真的舒服，买的黑色，白色还是有点透，
m***3,颜色分类:00 白色;尺码:160/84A/M,2021-01-21 13:37:41,这件是修身款，就是有点透，里面要穿白色内衣，其他没毛病
小***吗,颜色分类:00 白色;尺码:155/80A/S,2021-01-20 23:12:37,好
张***6,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-20 10:40:29,好看
张***6,颜色分类:00 白色;尺码:165/92A/XL,2021-01-20 10:40:29,好看
y***0,颜色分类:00 白色;尺码:165/92A/XL,2021-01-18 21:28:47,可以
y***0,颜色分类:61 水蓝色;尺码:165/92A/XL,2021-01-18 21:28:47,不错，趁皮肤
m***6,颜色分类:09 黑色;尺码:155/80A/S,2021-01-17 10:37:28,这件衬衫，从前买过99，129，现在都是199，遇上活动降价也要149，性价比不高，但是上班必备，没办法啦。
郝***0,颜色分类:09 黑色;尺码:160/84A/M,2021-01-16 22:37:15,挺好，黑色稍微有点粘毛
小***u,颜色分类:00 白色;尺码:160/88A/L,2021-01-16 20:45:01,还不错
蓝***卷,颜色分类:00 白色;尺码:160/84A/M,2021-01-16 11:25:45,不错
余***e,颜色分类:00 白色;尺码:165/92A/XL,2021-01-15 21:47:13,很舒服，想再买一件结果涨价了，等优惠了再买
陆***洋,颜色分类:00 白色;尺码:155/80A/S,2021-01-15 13:47:09,衬衫很好！喜欢，料子软软的舒服
